"Path","LineNumber","Line"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\about.html","7","    <title>About Us | MY TAXATION - Leading Tax Consultants in Delhi</title>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\about.html","8","    <meta name=""description"" content=""Learn about MY TAXATION, Delhi's trusted partner for ITR filing, GST, and business registrations. Over 10 years of expertise in tax consultancy."">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\about.html","156","                <h1 class=""text-4xl md:text-6xl font-black text-slate-900 mt-6 mb-8 leading-tight tracking-tight"">Delhi's Trusted Tax <br><span class=""text-brand-600"">Consultancy Partner</span></h1>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\about.html","196","                        At <strong class=""text-brand-950"">MY TAXATION</strong>, we believe that dealing with taxes shouldn't be a source of anxiety. Located in the heart of Raj Nagar, Palam, we serve hundreds of individuals and businesses across Delhi and across the nation through our digital portal."
"C:\Users\Acer\OneDrive\Desktop\Taxaination\about.html","522","                                    <p class=""font-black text-slate-800"">New Delhi Headquarters</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\about.html","523","                                    <p class=""text-slate-600 text-sm mt-1"">Rz 364 B, Gali No 2, Near Mamta Bakery, Raj Nagar, Part-2, Palam, Delhi, 110077</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\about.html","550","                        Simplifying taxes for individuals and businesses across Delhi. Professional, accurate, and 24/7 available to address your financial constraints instantly."
"C:\Users\Acer\OneDrive\Desktop\Taxaination\about.html","594","                            <span>Rz 364 B, Gali No 2<br>Raj Nagar, Part-2, Palam<br>Delhi, 110077</span>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\about.html","610","                <p>&copy; 2026 MY TAXATION. Built for Delhi. All rights reserved.</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\bookkeeping.html","571","                <a href=""https://www.google.com/search?q=MY+TAXATION+Delhi+reviews"" target=""_blank"""
"C:\Users\Acer\OneDrive\Desktop\Taxaination\bookkeeping.html","622","                        Simplifying taxes for individuals and businesses across Delhi. Professional, accurate, and 24/7"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\bookkeeping.html","680","                            <span>Rz 364 B, Gali No 2<br>Raj Nagar, Part-2, Palam<br>Delhi, 110077</span>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\bookkeeping.html","698","                <p>&copy; 2026 MY TAXATION. Built for Delhi. All rights reserved.</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\business-registration.html","914","                        businesses across Delhi. Professional, accurate, and 24/7 available.</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\business-registration.html","956","                        <span>Rz 364 B, Gali No 2<br>Palam, Delhi, 110077</span>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\business-registration.html","961","                <p>&copy; 2026 MY TAXATION. Built for Delhi. All rights reserved.</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\contact.html","6","    <title>MY TAXATION | Expert ITR Filing & Tax Consultants in Delhi</title>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\contact.html","10","        content=""ITR filing, GST registration, Tax Consultant Delhi, Income Tax return e-filing, My Taxation, income tax consultant Gurgaon, TDS return filing"">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\contact.html","483","                        src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3503.2435552981584!2d77.0700085!3d28.592476599999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d1b4632c7923f%3A0xe54d8969446f2576!2sRz%20364%20B%2C%20Gali%20No%202%2C%20Raj%20Nagar%2C%20Part-2%2C%20Palam%2C%20New%20Delhi%2C%20Delhi%20110077!5e0!3m2!1sen!2sin!4v1711956500000!5m2!1sen!2sin"""
"C:\Users\Acer\OneDrive\Desktop\Taxaination\contact.html","512","                                    Bakery<br>Raj Nagar, Part-2, Palam, Delhi, 110077</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\contact.html","637","                        Simplifying taxes for individuals and businesses across Delhi. Professional, accurate, and 24/7"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\contact.html","723","                            <span>Rz 364 B, Gali No 2<br>Raj Nagar, Part-2, Palam<br>Delhi, 110077</span>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\contact.html","741","                <p>&copy; 2026 MY TAXATION. Built for Delhi. All rights reserved.</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\gst-registration.html","7","    <title>MY TAXATION | Expert GST Registration Services in Delhi, India</title>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\gst-registration.html","9","        content=""MY TAXATION offers fast and easy GST registration, filing, and consultancy services across Delhi and India. Speak directly with our tax experts today for hassle-free compliance."">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\gst-registration.html","11","        content=""GST registration Delhi, GST registration India, GST return filing, Tax Consultant Delhi, Income Tax return e-filing, My Taxation, GST experts India"">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\gst-registration.html","16","    <meta property=""og:title"" content=""MY TAXATION | Expert GST Registration in Delhi, India"">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\gst-registration.html","427","                                Registration in Delhi</span>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\gst-registration.html","1154","                    <p class=""text-slate-500 font-medium text-lg max-w-xl"">Reliable feedback from businesses across Delhi who trust our GST expertise for compliance.</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\gst-registration.html","1388","                    <p class=""text-slate-600 font-medium leading-relaxed"">The fastest GST registration in Delhi. Handed"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\gst-registration.html","1467","                        src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3503.2435552981584!2d77.0700085!3d28.592476599999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d1b4632c7923f%3A0xe54d8969446f2576!2sRz%20364%20B%2C%20Gali%20No%202%2C%20Raj%20Nagar%2C%20Part-2%2C%20Palam%2C%20New%20Delhi%2C%20Delhi%20110077!5e0!3m2!1sen!2sin!4v1711956500000!5m2!1sen!2sin"""
"C:\Users\Acer\OneDrive\Desktop\Taxaination\gst-registration.html","1496","                                    Bakery<br>Raj Nagar, Part-2, Palam, Delhi, 110077</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\gst-registration.html","1544","                        Simplifying taxes for individuals and businesses across Delhi. Professional, accurate, and 24/7"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\gst-registration.html","1631","                            <span>Rz 364 B, Gali No 2<br>Raj Nagar, Part-2, Palam<br>Delhi, 110077</span>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\gst-registration.html","1649","                <p>&copy; 2026 MY TAXATION. Built for Delhi. All rights reserved.</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\index.html","7","    <title>MY TAXATION | Expert ITR Filing & Tax Consultants in Delhi</title>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\index.html","11","        content=""ITR filing, GST registration, Tax Consultant Delhi, Income Tax return e-filing, My Taxation, income tax consultant Gurgaon, TDS return filing"">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\index.html","1007","                        individuals and businesses across Delhi."
"C:\Users\Acer\OneDrive\Desktop\Taxaination\index.html","1224","                                trusted tax advisor in Delhi.""</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\index.html","1397","                <a href=""https://www.google.com/search?q=MY+TAXATION+Delhi+reviews"" target=""_blank"""
"C:\Users\Acer\OneDrive\Desktop\Taxaination\index.html","1484","            <p class=""text-slate-500 font-medium text-lg max-w-2xl mx-auto mb-16"">Whether you are in Delhi, Mumbai,"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\index.html","1552","                        src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3503.2435552981584!2d77.0700085!3d28.592476599999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d1b4632c7923f%3A0xe54d8969446f2576!2sRz%20364%20B%2C%20Gali%20No%202%2C%20Raj%20Nagar%2C%20Part-2%2C%20Palam%2C%20New%20Delhi%2C%20Delhi%20110077!5e0!3m2!1sen!2sin!4v1711956500000!5m2!1sen!2sin"""
"C:\Users\Acer\OneDrive\Desktop\Taxaination\index.html","1581","                                    Bakery<br>Raj Nagar, Part-2, Palam, Delhi, 110077</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\index.html","1704","                        Simplifying taxes for individuals and businesses across Delhi. Professional, accurate, and 24/7"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\index.html","1790","                            <span>Rz 364 B, Gali No 2<br>Raj Nagar, Part-2, Palam<br>Delhi, 110077</span>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\index.html","1808","                <p>&copy; 2026 MY TAXATION. Built for Delhi. All rights reserved.</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\itr-filing.html","6","    <title>MY TAXATION | Expert ITR Filing & Tax Consultants in Delhi</title>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\itr-filing.html","10","        content=""ITR filing, GST registration, Tax Consultant Delhi, Income Tax return e-filing, My Taxation, income tax consultant Gurgaon, TDS return filing"">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\itr-filing.html","418","                            <span class=""text-transparent bg-clip-text bg-gradient-to-r from-brand-600 to-brand-400"">ITR Filing in Delhi</span>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\itr-filing.html","1285","                        src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3503.2435552981584!2d77.0700085!3d28.592476599999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d1b4632c7923f%3A0xe54d8969446f2576!2sRz%20364%20B%2C%20Gali%20No%202%2C%20Raj%20Nagar%2C%20Part-2%2C%20Palam%2C%20New%20Delhi%2C%20Delhi%20110077!5e0!3m2!1sen!2sin!4v1711956500000!5m2!1sen!2sin"""
"C:\Users\Acer\OneDrive\Desktop\Taxaination\itr-filing.html","1314","                                    Bakery<br>Raj Nagar, Part-2, Palam, Delhi, 110077</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\itr-filing.html","1362","                        Simplifying taxes for individuals and businesses across Delhi. Professional, accurate, and 24/7"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\itr-filing.html","1448","                            <span>Rz 364 B, Gali No 2<br>Raj Nagar, Part-2, Palam<br>Delhi, 110077</span>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\itr-filing.html","1466","                <p>&copy; 2026 MY TAXATION. Built for Delhi. All rights reserved.</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\loan-consultancy.html","8","        content=""Speak directly with tax and finance experts. Easy Loan Consultancy in Delhi, India. We help with Project Reports and CMA Data."">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\loan-consultancy.html","10","        content=""Business Loan Delhi, MSME Loan India, CMA Data preparation, Top Finance Experts India"">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\loan-consultancy.html","17","        content=""Speak directly with top finance experts. Fast Loan processing in Delhi, India."">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\loan-consultancy.html","25","        content=""Speak directly with top finance experts. Fast Loan processing in Delhi, India."">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\loan-consultancy.html","1154","                        src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3503.2435552981584!2d77.0700085!3d28.592476599999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d1b4632c7923f%3A0xe54d8969446f2576!2sRz%20364%20B%2C%20Gali%20No%202%2C%20Raj%20Nagar%2C%20Part-2%2C%20Palam%2C%20New%20Delhi%2C%20Delhi%20110077!5e0!3m2!1sen!2sin!4v1711956500000!5m2!1sen!2sin"""
"C:\Users\Acer\OneDrive\Desktop\Taxaination\loan-consultancy.html","1183","                                    Bakery<br>Raj Nagar, Part-2, Palam, Delhi, 110077</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\loan-consultancy.html","1231","                        Simplifying taxes for individuals and businesses across Delhi. Professional, accurate, and 24/7"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\loan-consultancy.html","1317","                            <span>Rz 364 B, Gali No 2<br>Raj Nagar, Part-2, Palam<br>Delhi, 110077</span>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\loan-consultancy.html","1335","                <p>&copy; 2026 MY TAXATION. Built for Delhi. All rights reserved.</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\notice-help.html","6","    <title>Tax Notice Help & Appeals | MY TAXATION - Delhi</title>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\notice-help.html","8","        content=""Speak directly with tax litigation experts. Resolve GST and Income Tax notices safely. Easy Notice Help in Delhi, India."">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\notice-help.html","10","        content=""Tax Notice Reply Delhi, Income Tax Scrutiny, GST Notice Help India, Top Tax Lawyers India"">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\notice-help.html","17","        content=""Speak directly with top litigation experts. Resolve tax notices effortlessly in Delhi, India."">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\notice-help.html","25","        content=""Speak directly with top litigation experts. Resolve tax notices effortlessly in Delhi, India."">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\notice-help.html","696","                        A Delhi-based SME was slapped with a penalty for under-reporting income due to a clerical error. We filed a rectification and stayed the penalty by proving ""Bona-Fide intent""."
"C:\Users\Acer\OneDrive\Desktop\Taxaination\notice-help.html","905","                    <p class=""text-slate-600 font-medium leading-relaxed"">The fastest GST registration in Delhi. Handed over the certificate in literal 3 days.</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\notice-help.html","941","            <span class=""font-bold text-lg text-brand-950"">Can you represent me if I'm not in Delhi?</span>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\notice-help.html","970","                        src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3503.2435552981584!2d77.0700085!3d28.592476599999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d1b4632c7923f%3A0xe54d8969446f2576!2sRz%20364%20B%2C%20Gali%20No%202%2C%20Raj%20Nagar%2C%20Part-2%2C%20Palam%2C%20New%20Delhi%2C%20Delhi%20110077!5e0!3m2!1sen!2sin!4v1711956500000!5m2!1sen!2sin"""
"C:\Users\Acer\OneDrive\Desktop\Taxaination\notice-help.html","999","                                    Bakery<br>Raj Nagar, Part-2, Palam, Delhi, 110077</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\notice-help.html","1047","                        Simplifying taxes for individuals and businesses across Delhi. Professional, accurate, and 24/7"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\notice-help.html","1133","                            <span>Rz 364 B, Gali No 2<br>Raj Nagar, Part-2, Palam<br>Delhi, 110077</span>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\notice-help.html","1151","                <p>&copy; 2026 MY TAXATION. Built for Delhi. All rights reserved.</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\reviews.html","6","    <title>MY TAXATION | Expert ITR Filing & Tax Consultants in Delhi</title>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\reviews.html","10","        content=""ITR filing, GST registration, Tax Consultant Delhi, Income Tax return e-filing, My Taxation, income tax consultant Gurgaon, TDS return filing"">"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\reviews.html","549","                                trusted tax advisor in Delhi.""</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\reviews.html","722","                <a href=""https://www.google.com/search?q=MY+TAXATION+Delhi+reviews"" target=""_blank"""
"C:\Users\Acer\OneDrive\Desktop\Taxaination\reviews.html","743","                        src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3503.2435552981584!2d77.0700085!3d28.592476599999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d1b4632c7923f%3A0xe54d8969446f2576!2sRz%20364%20B%2C%20Gali%20No%202%2C%20Raj%20Nagar%2C%20Part-2%2C%20Palam%2C%20New%20Delhi%2C%20Delhi%20110077!5e0!3m2!1sen!2sin!4v1711956500000!5m2!1sen!2sin"""
"C:\Users\Acer\OneDrive\Desktop\Taxaination\reviews.html","772","                                    Bakery<br>Raj Nagar, Part-2, Palam, Delhi, 110077</p>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\reviews.html","820","                        Simplifying taxes for individuals and businesses across Delhi. Professional, accurate, and 24/7"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\reviews.html","906","                            <span>Rz 364 B, Gali No 2<br>Raj Nagar, Part-2, Palam<br>Delhi, 110077</span>"
"C:\Users\Acer\OneDrive\Desktop\Taxaination\reviews.html","924","                <p>&copy; 2026 MY TAXATION. Built for Delhi. All rights reserved.</p>"
